2453210.45776 1.214 0.011
2453210.45822 1.229 0.011
2453210.45870 1.241 0.011
2453210.45916 1.223 0.012
2453210.45962 1.215 0.011
2453210.46008 1.227 0.011
2453210.46056 1.258 0.011
2453210.46102 1.242 0.011
2453210.46148 1.210 0.011
2453210.46195 1.257 0.011
2453210.46242 1.232 0.011
2453210.46288 1.245 0.011
2453210.46335 1.217 0.011
2453210.46381 1.227 0.011
2453210.46429 1.243 0.011
2453210.46475 1.279 0.012
2453210.46521 1.210 0.011
2453210.46567 1.250 0.012
2453210.46615 1.210 0.011
2453210.46707 1.269 0.012
2453210.46754 1.234 0.012
2453210.46801 1.228 0.012
2453210.46848 1.233 0.012
2453210.46894 1.254 0.012
2453210.46940 1.263 0.012
2453210.46988 1.229 0.012
2453210.47034 1.278 0.012
2453210.47080 1.274 0.012
2453210.47126 1.247 0.012
2453210.47174 1.267 0.012
2453210.47220 1.262 0.012
2453210.47267 1.243 0.012
2453210.47313 1.260 0.012
2453210.47360 1.277 0.012
2453210.47407 1.295 0.012
2453210.47453 1.249 0.012
2453210.47499 1.272 0.012
2453210.47547 1.278 0.012
2453210.47593 1.293 0.012
2453210.47639 1.256 0.012
2453210.47687 1.287 0.012
2453210.47733 1.279 0.012
2453210.47779 1.252 0.012
2453210.47826 1.264 0.012
2453210.47873 1.242 0.012
2453210.47919 1.257 0.012
2453210.47966 1.268 0.012
2453210.48012 1.267 0.012
2453210.48059 1.258 0.012
2453210.48106 1.209 0.011
2453210.48152 1.262 0.012
2453210.48246 1.238 0.012
2453210.48292 1.202 0.012
2453210.48338 1.225 0.012
2453210.48385 1.202 0.011
2453210.48432 1.215 0.012
2453210.48478 1.192 0.012
2453210.48525 1.210 0.012
2453210.48572 1.230 0.012
2453210.48618 1.222 0.012
2453210.48665 1.241 0.012
2453210.48711 1.214 0.012
2453210.48758 1.240 0.012
2453210.48805 1.264 0.012
2453210.48851 1.189 0.012
2453210.48897 1.203 0.012
2453210.48945 1.222 0.012
2453210.48991 1.214 0.012
2453210.49037 1.240 0.012
2453210.49084 1.215 0.012
2453210.49131 1.220 0.012
2453210.49177 1.244 0.012
2453210.49224 1.230 0.012
2453210.49270 1.250 0.012
2453210.49317 1.209 0.012
2453210.49364 1.203 0.012
2453210.49410 1.239 0.012
2453210.49456 1.248 0.012
2453210.49504 1.255 0.012
2453210.49550 1.284 0.013
2453210.49596 1.266 0.012
2453210.49643 1.262 0.012
2453210.49690 1.240 0.012
2453210.49736 1.289 0.012
2453210.49829 1.241 0.012
2453210.49876 1.260 0.012
2453210.49923 1.261 0.012
2453210.49969 1.240 0.012
2453210.50015 1.253 0.013
2453210.50063 1.286 0.013
2453210.50109 1.279 0.013
2453210.50155 1.245 0.012
2453210.50202 1.277 0.013
2453210.50249 1.264 0.013
2453210.50295 1.283 0.013
2453210.50342 1.249 0.013
2453210.50389 1.260 0.012
2453210.50435 1.290 0.013
2453210.50482 1.292 0.013
2453210.50528 1.272 0.013
2453210.50576 1.272 0.013
2453210.50622 1.325 0.013
2453210.50668 1.357 0.014
2453210.50714 1.367 0.014
2453210.50762 1.330 0.014
2453210.50808 1.289 0.017
2453210.50854 1.264 0.013
2453210.50901 1.311 0.013
2453210.50948 1.283 0.012
2453210.50995 1.270 0.012
2453210.51087 1.267 0.013
2453210.51135 1.283 0.013
2453210.51181 1.289 0.013
2453210.51227 1.275 0.012
2453210.51275 1.283 0.013
2453210.51321 1.310 0.013
2453210.51367 1.278 0.013
2453210.51413 1.324 0.013
2453210.51461 1.346 0.013
2453210.51507 1.290 0.013
2453210.51600 1.301 0.013
2453210.51647 1.318 0.013
2453210.51740 1.309 0.013
2453210.51786 1.266 0.012
2453210.51880 1.330 0.013
2453210.51926 1.338 0.013
2453210.52020 1.312 0.013
2453210.52066 1.266 0.013
2453210.52113 1.312 0.013
2453210.52159 1.295 0.013
2453210.52206 1.330 0.013
2453210.52299 1.315 0.013
2453210.52393 1.344 0.013
2453210.52485 1.325 0.014
2453210.52579 1.346 0.013
2453210.52625 1.369 0.013
2453210.52672 1.360 0.013
2453210.52718 1.334 0.013
2453210.52765 1.329 0.013
2453210.52812 1.364 0.014
2453210.52858 1.360 0.013
2453210.52904 1.355 0.014
2453210.52952 1.394 0.014
2453210.52998 1.393 0.014
2453210.53044 1.396 0.014
2453210.53091 1.393 0.014
2453210.53138 1.390 0.014
2453210.53184 1.343 0.013
2453210.53277 1.364 0.013
2453210.53324 1.398 0.014
2453210.53371 1.335 0.014
2453210.53417 1.373 0.014
2453210.53463 1.355 0.014
2453210.53511 1.372 0.014
2453210.53557 1.343 0.014
2453210.53603 1.333 0.013
2453210.53651 1.342 0.014
2453210.53697 1.361 0.014
2453210.53743 1.334 0.013
2453210.53790 1.365 0.014
2453210.53837 1.356 0.014
2453210.53883 1.337 0.013
2453210.53930 1.366 0.014
2453210.53976 1.383 0.014
2453210.54023 1.372 0.014
2453210.54070 1.369 0.014
2453210.54116 1.366 0.014
2453210.54162 1.378 0.014
2453210.54210 1.369 0.014
2453210.54256 1.351 0.014
2453210.54302 1.358 0.014
2453210.54349 1.338 0.014
2453210.54396 1.343 0.014
2453210.54442 1.375 0.014
2453210.54489 1.366 0.014
2453210.54535 1.379 0.014
2453210.54582 1.399 0.015
2453210.54629 1.382 0.015
2453210.54675 1.361 0.014
2453210.54721 1.358 0.014
2453210.54769 1.349 0.014
2453210.54815 1.356 0.014
2453210.54861 1.431 0.015
2453210.54908 1.377 0.014
2453210.54955 1.320 0.014
2453210.55001 1.411 0.014
2453210.55048 1.392 0.015
2453210.55094 1.342 0.014
2453210.55142 1.376 0.015
2453210.55188 1.376 0.014
2453210.55234 1.401 0.014
2453210.55280 1.392 0.015
2453210.55328 1.337 0.014
2453210.55374 1.389 0.014
2453210.55420 1.393 0.014
2453210.55467 1.377 0.014
2453210.55514 1.376 0.014
2453210.55560 1.393 0.015
2453210.55607 1.404 0.015
2453210.55654 1.362 0.015
2453210.55701 1.340 0.015
2453210.55747 1.375 0.015
2453210.55793 1.392 0.015
2453210.55841 1.391 0.015
2453210.55887 1.389 0.015
2453210.55933 1.414 0.016
2453210.55979 1.360 0.015
2453210.56027 1.412 0.015
2453210.56073 1.447 0.016
2453210.56120 1.378 0.016
2453210.56166 1.393 0.015
2453210.56213 1.401 0.016
2453210.56260 1.381 0.016
2453210.56306 1.360 0.016
2453210.56352 1.406 0.016
2453210.56400 1.409 0.016
2453210.56446 1.430 0.016
2453210.56492 1.373 0.016
2453210.56538 1.394 0.016
2453210.56586 1.361 0.016
2453210.56632 1.395 0.016
2453210.56679 1.344 0.015
2453210.56725 1.349 0.016
2453210.56772 1.357 0.016
2453210.56819 1.365 0.016
2453210.56865 1.362 0.016
2453210.56911 1.400 0.017
2453210.56959 1.360 0.017
2453210.57005 1.356 0.016
2453210.57051 1.369 0.017
