JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: 12.00
2453236.36220 -1.406 0.013 0.044 0.007 0.044 0.007 1.450 0.013 1.450 0.013 0.000 0.007
2453236.36258 -1.453 0.014 0.026 0.007 0.028 0.007 1.479 0.014 1.481 0.014 0.002 0.007


2453236.36332 -1.472 0.013 -0.019 0.007 0.028 0.007 1.453 0.013 1.500 0.013 0.047 0.007
2453236.36369 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.36407 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.36444 -1.494 0.014 -0.031 0.007 0.022 0.007 1.463 0.014 1.516 0.014 0.053 0.007
2453236.36481 99.999 9.999 99.999 9.999 0.007 0.007 99.999 9.999 99.999 9.999 99.999 9.999
2453236.36519 -1.518 0.014 99.999 9.999 -0.021 0.007 99.999 9.999 1.497 0.014 99.999 9.999
2453236.36557 -1.507 0.014 -0.023 0.007 -0.024 0.007 1.484 0.014 1.483 0.014 -0.001 0.007
2453236.36594 -1.538 0.013 -0.089 0.007 -0.056 0.007 1.449 0.013 1.482 0.013 0.033 0.007
2453236.36631 -1.518 0.013 99.999 9.999 -0.020 0.007 99.999 9.999 1.498 0.013 99.999 9.999
2453236.36668 -1.576 0.014 -0.084 0.007 -0.059 0.007 1.492 0.014 1.517 0.014 0.025 0.007
2453236.36706 -1.564 0.014 -0.073 0.007 -0.042 0.007 1.491 0.014 1.522 0.014 0.031 0.007




2453236.36817 -1.623 0.014 -0.159 0.007 -0.138 0.007 1.464 0.014 1.485 0.014 0.021 0.007




2453236.36929 -1.576 0.013 -0.100 0.007 -0.098 0.007 1.476 0.013 1.478 0.013 0.002 0.007
2453236.36966 99.999 9.999 99.999 9.999 -0.106 0.007 99.999 9.999 99.999 9.999 99.999 9.999
2453236.37005 -1.616 0.014 -0.126 0.007 -0.133 0.007 1.490 0.014 1.483 0.014 -0.007 0.007
2453236.37042 -1.663 0.014 -0.200 0.007 -0.131 0.007 1.463 0.014 1.532 0.014 0.069 0.007




2453236.37154 -1.724 0.014 -0.251 0.007 -0.197 0.007 1.473 0.014 1.527 0.014 0.054 0.007
2453236.37191 99.999 9.999 99.999 9.999 -0.152 0.007 99.999 9.999 99.999 9.999 99.999 9.999
2453236.37228 -1.712 0.014 -0.260 0.007 -0.174 0.007 1.452 0.014 1.538 0.014 0.086 0.007
2453236.37266 -1.661 0.014 -0.200 0.007 -0.193 0.007 1.461 0.014 1.468 0.014 0.007 0.007
2453236.37303 -1.641 0.013 99.999 9.999 -0.172 0.007 99.999 9.999 1.469 0.013 99.999 9.999


2453236.37377 -1.703 0.014 -0.248 0.007 -0.192 0.007 1.455 0.014 1.511 0.014 0.056 0.007
2453236.37416 -1.730 0.014 -0.250 0.007 -0.236 0.007 1.480 0.014 1.494 0.014 0.014 0.007


2453236.37490 -1.778 0.014 -0.317 0.006 -0.253 0.006 1.461 0.014 1.525 0.014 0.064 0.007
2453236.37527 -1.750 0.014 -0.278 0.007 -0.240 0.007 1.472 0.014 1.510 0.014 0.038 0.007


2453236.37602 -1.748 0.014 -0.322 0.006 -0.268 0.006 1.426 0.014 1.480 0.014 0.054 0.007
2453236.37639 -1.808 0.014 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453236.37676 -1.781 0.014 -0.308 0.006 -0.305 0.006 1.473 0.014 1.476 0.014 0.003 0.007
2453236.37714 -1.720 0.013 -0.251 0.007 -0.233 0.007 1.469 0.013 1.487 0.013 0.018 0.007
2453236.37751 -1.756 0.014 -0.265 0.006 -0.233 0.006 1.491 0.014 1.523 0.014 0.032 0.007
