JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V
2453255.35101 -0.248 0.006 -0.021 0.006 0.164 0.006 0.227 0.006 0.412 0.006 0.185 0.006
2453255.35139 -0.242 0.006 -0.004 0.006 0.176 0.006 0.238 0.006 0.418 0.006 0.180 0.006
2453255.35181 -0.258 0.006 -0.048 0.006 0.115 0.006 0.210 0.006 0.373 0.006 0.163 0.006
2453255.35222 -0.240 0.006 -0.023 0.006 0.128 0.006 0.217 0.006 0.368 0.006 0.151 0.006
2453255.35262 -0.211 0.006 -0.058 0.006 0.142 0.006 0.153 0.007 0.353 0.006 0.200 0.006
2453255.35301 -0.210 0.006 -0.035 0.006 0.168 0.006 0.175 0.007 0.378 0.006 0.203 0.006
2453255.35340 -0.214 0.006 0.006 0.006 0.193 0.006 0.220 0.006 0.407 0.006 0.187 0.006
2453255.35380 -0.220 0.006 0.024 0.006 0.186 0.006 0.244 0.006 0.406 0.006 0.162 0.006
2453255.35417 -0.213 0.006 0.025 0.006 0.211 0.006 0.238 0.006 0.424 0.006 0.186 0.006
2453255.35458 -0.213 0.006 -0.056 0.006 0.120 0.006 0.157 0.007 0.333 0.006 0.176 0.006
2453255.35500 -0.230 0.006 -0.087 0.006 0.118 0.006 0.143 0.007 0.348 0.006 0.205 0.006
2453255.35539 99.999 9.999 -0.017 0.006 0.133 0.006 99.999 9.999 99.999 9.999 0.150 0.006
2453255.35580 -0.233 0.006 0.009 0.006 0.180 0.006 0.242 0.006 0.413 0.006 0.171 0.006
2453255.35623 -0.263 0.006 -0.054 0.006 0.098 0.006 0.209 0.006 0.361 0.006 0.152 0.006
2453255.35661 -0.215 0.006 -0.033 0.006 0.179 0.006 0.182 0.006 0.394 0.006 0.212 0.006
2453255.35703 99.999 9.999 -0.035 0.006 0.156 0.006 99.999 9.999 99.999 9.999 0.191 0.006
2453255.35742 -0.245 0.006 -0.069 0.006 99.999 9.999 0.176 0.007 99.999 9.999 99.999 9.999
2453255.35781 -0.231 0.006 0.009 0.006 0.189 0.006 0.240 0.006 0.420 0.006 0.180 0.006
2453255.35823 -0.226 0.006 0.014 0.006 0.189 0.006 0.240 0.006 0.415 0.006 0.175 0.006
2453255.35861 -0.252 0.006 -0.012 0.006 0.167 0.006 0.240 0.006 0.419 0.006 0.179 0.006
2453255.35900 -0.217 0.006 -0.023 0.006 0.178 0.006 0.194 0.006 0.395 0.006 0.201 0.006
2453255.35939 -0.226 0.006 -0.080 0.006 0.117 0.006 0.146 0.007 0.343 0.006 0.197 0.006
2453255.35980 -0.220 0.006 -0.056 0.006 0.156 0.006 0.164 0.007 0.376 0.006 0.212 0.006
2453255.36021 -0.213 0.006 0.008 0.006 0.207 0.006 0.221 0.006 0.420 0.006 0.199 0.006
2453255.36063 -0.256 0.006 0.003 0.006 0.153 0.006 0.259 0.006 0.409 0.006 0.150 0.006
2453255.36102 -0.236 0.006 0.030 0.006 0.197 0.006 0.266 0.006 0.433 0.006 0.167 0.006
2453255.36140 -0.246 0.006 -0.044 0.006 0.105 0.006 0.202 0.006 0.351 0.006 0.149 0.006
2453255.36179 -0.251 0.006 -0.023 0.006 0.123 0.006 0.228 0.006 0.374 0.006 0.146 0.006
2453255.36223 -0.212 0.006 -0.053 0.006 0.151 0.006 0.159 0.007 0.363 0.006 0.204 0.006
2453255.36260 -0.234 0.006 -0.071 0.006 0.097 0.006 0.163 0.007 0.331 0.006 0.168 0.006
2453255.36301 -0.209 0.006 0.007 0.006 0.210 0.006 0.216 0.006 0.419 0.006 0.203 0.006
2453255.36339 -0.227 0.006 0.018 0.006 0.195 0.006 0.245 0.006 0.422 0.006 0.177 0.006
2453255.36378 -0.250 0.006 -0.009 0.006 0.177 0.006 0.241 0.006 0.427 0.006 0.186 0.006
2453255.36421 -0.209 0.006 0.008 0.006 0.208 0.006 0.217 0.006 0.417 0.006 0.200 0.006
