JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6
Aperture: 2.00, Filter: V


2453263.30444 99.999 9.999 0.896 0.009 1.113 0.009 99.999 9.999 99.999 9.999 0.217 0.006
2453263.30483 0.717 0.009 0.905 0.009 1.085 0.009 0.188 0.007 0.368 0.006 0.180 0.006
2453263.30520 0.758 0.009 0.944 0.009 1.092 0.009 0.186 0.007 0.334 0.006 0.148 0.006
2453263.30557 99.999 9.999 0.880 0.009 1.096 0.009 99.999 9.999 99.999 9.999 0.216 0.006


2453263.30632 0.723 0.009 0.906 0.009 1.073 0.009 0.183 0.007 0.350 0.006 0.167 0.006
2453263.30669 99.999 9.999 0.884 0.009 1.105 0.009 99.999 9.999 99.999 9.999 0.221 0.006
2453263.30707 0.726 0.009 99.999 9.999 1.094 0.009 99.999 9.999 0.368 0.006 99.999 9.999
2453263.30744 0.703 0.009 0.929 0.009 1.093 0.009 0.226 0.007 0.390 0.006 0.164 0.006


2453263.30819 0.702 0.009 0.875 0.009 1.074 0.009 0.173 0.007 0.372 0.006 0.199 0.006
2453263.30856 99.999 9.999 0.892 0.009 1.089 0.009 99.999 9.999 99.999 9.999 0.197 0.006


2453263.30931 0.687 0.009 0.897 0.009 1.049 0.009 0.210 0.007 0.362 0.006 0.152 0.006
2453263.30969 0.690 0.009 0.907 0.009 1.093 0.009 0.217 0.007 0.403 0.006 0.186 0.006
2453263.31006 0.730 0.010 99.999 9.999 1.064 0.009 99.999 9.999 0.334 0.008 99.999 9.999
2453263.31043 0.665 0.010 0.886 0.009 1.082 0.009 0.221 0.008 0.417 0.008 0.196 0.007
2453263.31081 0.647 0.010 0.861 0.009 1.064 0.009 0.214 0.008 0.417 0.008 0.203 0.007


2453263.31155 0.688 0.010 0.909 0.009 1.086 0.009 0.221 0.008 0.398 0.008 0.177 0.007
2453263.31193 0.702 0.010 0.923 0.009 1.084 0.009 0.221 0.008 0.382 0.008 0.161 0.007


2453263.31267 0.702 0.010 0.897 0.009 1.102 0.009 0.195 0.008 0.400 0.007 0.205 0.006


2453263.31343 0.697 0.011 0.901 0.010 1.080 0.010 0.204 0.008 0.383 0.008 0.179 0.007
2453263.31380 0.676 0.010 0.869 0.009 1.036 0.009 0.193 0.008 0.360 0.008 0.167 0.007
2453263.31418 0.663 0.010 0.871 0.009 1.069 0.009 0.208 0.008 0.406 0.008 0.198 0.007
2453263.31455 0.628 0.010 0.847 0.009 1.044 0.009 0.219 0.008 0.416 0.008 0.197 0.007
2453263.31492 0.651 0.010 0.868 0.009 1.064 0.009 0.217 0.008 0.413 0.008 0.196 0.007


2453263.31567 0.694 0.011 0.883 0.010 1.054 0.010 0.189 0.008 0.360 0.008 0.171 0.007
2453263.31604 0.647 0.011 0.845 0.010 1.059 0.010 0.198 0.008 0.412 0.008 0.214 0.007


2453263.31679 0.673 0.011 0.853 0.010 1.033 0.010 0.180 0.008 0.360 0.008 0.180 0.007
2453263.31716 0.682 0.011 0.870 0.010 1.041 0.010 0.188 0.008 0.359 0.008 0.171 0.007
2453263.31755 0.653 0.011 0.882 0.010 1.043 0.010 0.229 0.008 0.390 0.008 0.161 0.007
2453263.31792 0.643 0.011 0.871 0.011 1.045 0.010 0.228 0.008 0.402 0.008 0.174 0.008


2453263.31866 0.641 0.011 0.836 0.011 1.035 0.010 0.195 0.008 0.394 0.008 0.199 0.008
2453263.31904 99.999 9.999 0.816 0.011 1.023 0.010 99.999 9.999 99.999 9.999 0.207 0.008


2453263.31978 0.662 0.013 0.882 0.013 1.039 0.013 0.220 0.009 0.377 0.009 0.157 0.008
2453263.32016 0.629 0.012 0.868 0.012 99.999 9.999 0.239 0.009 99.999 9.999 99.999 9.999
2453263.32053 0.676 0.013 0.910 0.013 1.065 0.013 0.234 0.009 0.389 0.009 0.155 0.008
2453263.32090 99.999 9.999 0.823 0.011 1.034 0.010 99.999 9.999 99.999 9.999 0.211 0.008


2453263.32166 0.627 0.011 0.824 0.011 1.017 0.010 0.197 0.008 0.390 0.008 0.193 0.008
2453263.32203 99.999 9.999 0.826 0.011 1.013 0.010 99.999 9.999 99.999 9.999 0.187 0.008


2453263.32278 0.629 0.011 0.838 0.011 0.995 0.010 0.209 0.008 0.366 0.008 0.157 0.008
2453263.32315 0.650 0.011 0.838 0.011 1.027 0.010 0.188 0.008 0.377 0.008 0.189 0.008
2453263.32353 0.627 0.011 0.813 0.011 0.984 0.010 0.186 0.008 0.357 0.008 0.171 0.008
2453263.32390 0.605 0.011 0.824 0.011 1.042 0.010 0.219 0.009 0.437 0.009 0.218 0.008
2453263.32427 0.640 0.011 99.999 9.999 1.034 0.010 99.999 9.999 0.394 0.008 99.999 9.999
2453263.32465 0.632 0.011 0.843 0.011 99.999 9.999 0.211 0.008 99.999 9.999 99.999 9.999


2453263.32539 0.640 0.011 0.836 0.010 1.019 0.010 0.196 0.008 0.379 0.008 0.183 0.007
2453263.32578 99.999 9.999 0.802 0.010 1.010 0.010 99.999 9.999 99.999 9.999 0.208 0.007
2453263.32615 0.620 0.011 0.821 0.011 0.965 0.010 0.201 0.008 0.345 0.008 0.144 0.008
2453263.32653 99.999 9.999 0.825 0.011 0.999 0.010 99.999 9.999 99.999 9.999 0.174 0.008
2453263.32690 0.650 0.012 0.827 0.012 1.010 0.011 0.177 0.009 0.360 0.009 0.183 0.008
2453263.32727 0.577 0.012 0.777 0.012 1.008 0.011 0.200 0.009 0.431 0.009 0.231 0.008
2453263.32765 0.627 0.012 0.816 0.012 0.999 0.012 0.189 0.009 0.372 0.009 0.183 0.008
2453263.32802 0.648 0.013 99.999 9.999 1.025 0.013 99.999 9.999 0.377 0.009 99.999 9.999
2453263.32839 0.628 0.013 0.868 0.013 1.037 0.013 0.240 0.009 0.409 0.009 0.169 0.008
2453263.32877 0.631 0.012 0.834 0.012 1.010 0.012 0.203 0.009 0.379 0.009 0.176 0.008
2453263.32914 0.642 0.016 0.844 0.015 1.031 0.015 0.202 0.012 0.389 0.011 0.187 0.011
2453263.32951 0.609 0.024 0.816 0.023 0.996 0.022 0.207 0.017 0.387 0.016 0.180 0.015
2453263.32990 0.597 0.041 0.744 0.040 0.934 0.039 0.147 0.028 0.337 0.027 0.190 0.025
2453263.33027 99.999 9.999 0.772 0.082 1.044 0.079 99.999 9.999 99.999 9.999 0.272 0.048




















2453263.33513 0.582 0.061 0.806 0.057 1.017 0.056 0.224 0.042 0.435 0.040 0.211 0.034
2453263.33551 99.999 9.999 0.761 0.030 99.999 9.999 99.999 9.999 99.999 9.999 99.999 9.999
2453263.33588 0.377 0.092 0.734 0.084 0.845 0.082 0.357 0.067 0.468 0.066 0.111 0.053
2453263.33625 0.629 0.109 0.761 0.106 0.977 0.103 0.132 0.072 0.348 0.067 0.216 0.062
2453263.33663 0.731 0.104 0.867 0.102 1.061 0.099 0.136 0.065 0.330 0.061 0.194 0.056
2453263.33700 0.473 0.088 0.629 0.084 0.751 0.082 0.156 0.065 0.278 0.062 0.122 0.057
2453263.33737 0.594 0.041 0.751 0.040 0.916 0.039 0.157 0.029 0.322 0.028 0.165 0.025
2453263.33775 0.565 0.021 0.845 0.019 1.030 0.019 0.280 0.015 0.465 0.014 0.185 0.012




2453263.34262 0.310 0.082 0.896 0.071 0.981 0.070 0.586 0.059 0.671 0.058 0.085 0.041
2453263.34299 0.580 0.014 0.762 0.014 0.922 0.014 0.182 0.011 0.342 0.011 0.160 0.010


2453263.34411 0.149 0.059 1.043 0.049 1.361 0.047 0.894 0.042 1.212 0.041 0.318 0.024
2453263.34486 0.690 0.043 0.711 0.042 0.933 0.041 0.021 0.029 0.243 0.028 0.222 0.027
2453263.34672 0.593 0.022 0.746 0.021 0.916 0.021 0.153 0.016 0.323 0.016 0.170 0.015
2453263.34711 0.527 0.017 0.755 0.017 0.970 0.016 0.228 0.013 0.443 0.012 0.215 0.011
2453263.34785 0.583 0.027 0.780 0.026 0.995 0.025 0.197 0.021 0.412 0.019 0.215 0.017
2453263.34823 0.236 0.169 1.024 0.139 1.559 0.132 0.788 0.122 1.323 0.115 0.535 0.063
2453263.34860 0.729 0.091 0.541 0.094 0.728 0.090 -0.188 0.066 -0.001 0.059 0.187 0.065
2453263.34935 0.545 0.018 0.763 0.017 99.999 9.999 0.218 0.013 99.999 9.999 99.999 9.999


2453263.35009 0.544 0.015 0.738 0.014 0.939 0.014 0.194 0.011 0.395 0.011 0.201 0.010
2453263.35047 0.561 0.014 0.790 0.013 0.941 0.013 0.229 0.011 0.380 0.010 0.151 0.009
2453263.35084 0.565 0.021 0.800 0.020 0.917 0.019 0.235 0.016 0.352 0.015 0.117 0.013
2453263.35122 0.524 0.014 0.754 0.013 0.939 0.013 0.230 0.011 0.415 0.010 0.185 0.009
2453263.35160 0.526 0.015 0.730 0.014 0.965 0.014 0.204 0.012 0.439 0.011 0.235 0.011
2453263.35197 0.385 0.016 0.835 0.014 1.054 0.013 0.450 0.012 0.669 0.012 0.219 0.009
2453263.35234 99.999 9.999 0.720 0.013 0.918 0.013 99.999 9.999 99.999 9.999 0.198 0.009
2453263.35272 99.999 9.999 0.737 0.012 0.942 0.012 99.999 9.999 99.999 9.999 0.205 0.009
2453263.35309 0.518 0.014 0.716 0.013 0.875 0.013 0.198 0.011 0.357 0.010 0.159 0.009
2453263.35346 0.702 0.030 0.572 0.031 0.588 0.031 -0.130 0.023 -0.114 0.023 0.016 0.024
